schema_type,name,description,format,created,last_modified,size,url,url_type,dkan_parent_dataset_node_id,dkan_parent_dataset_title,dkan_resource_node_id,dkan_uri
data,Ethnic Origin (National Household Survey 2011),,CSV,2018-09-19 10:12:44,2021-04-01 00:42:33,26467,https://open.yukon.ca/sites/default/files/NHS_2011_ETH_ORIGIN_0.CSV,upload,61172,National Household Survey 2011 (Semi-custom Profile of Yukon Territory and Selected Regions),22477,https://open.yukon.ca/data/datasets/ethnic-origin-national-household-survey-2011/resource/29ba7df0-2cbb-4e46-ae91
data,Yukon Government Closed Tenders,"Downloadable CSV - List of closed tenders, Information Includes; Tender No., Tender Title, Department, Advertised Date, Closing Date, Tender Type and Category, Tender Status.",HTML,2019-06-17 14:52:33,2021-07-26 12:48:20,,https://yukon.bidsandtenders.ca/Module/Tenders/en/OpenData/GenerateReport?report=ClosedTenders,,30799,Yukon Government Closed Tenders,30815,https://open.yukon.ca/data/datasets/yukon-government-closed-tenders/resource/328997d7-a2bf-4afd-981d-6fa14ee50a4b
data,Yukon Government Public Contract Registry,"Information Includes: Contract Description, Vendor Name, Amount, Start Date, Contract No, number of change orders, Department, Contract Type, Community, Type of Contract I = invitational, D=Direct Award, P = Public Tender and Fiscal Year",HTML,2019-06-17 14:52:33,2021-07-22 16:30:58,,https://apps.gov.yk.ca/contractreg/f?p=107%3A500%3A,,30801,Yukon Government Public Contract Registry,30816,https://open.yukon.ca/data/datasets/yukon-government-public-contract-registry/resource/9f4de08f-e155-4e29-9494
data,All Questions- All Respondents,,CSV,2019-09-20 15:21:29,2021-04-01 00:49:53,17449,https://open.yukon.ca/sites/default/files/surveyresults.csv,upload,31879,LGBTQ2S+ Inclusion Prioritization Survey,31880,https://open.yukon.ca/data/datasets/lgbtq2s-inclusion-prioritization-survey/resource/0cb5e4a7-bfc1-4d90-b32e-2ab22134926f
data,All Questions- LGBTQ2S+ Respondents,"Group 3 includes respondents who identified as Trans, Gender diverse/variant and/or non-binary, or a Parent/caregiver of LGBTQ2S+ (or questioning) child. Responding to Trans Health Questions",CSV,2019-09-20 15:23:44,2021-04-01 00:49:53,14475,https://open.yukon.ca/sites/default/files/group3results.csv,upload,31879,LGBTQ2S+ Inclusion Prioritization Survey,31881,https://open.yukon.ca/data/datasets/lgbtq2s-inclusion-prioritization-survey/resource/74039d40-c20b-4b31-8542-16db378e521f
data,"Trans Health- Trans, Gender Diverse and Two-Spirit Respondents","Group 2 includes respondents who identified as LGBTQ2S+, parents/caregivers and family members of LGBTQ2S+ Yukoners. Responding to  Conversion Therapy Legislation Questions.",CSV,2019-09-20 15:25:04,2021-04-01 00:49:53,2040,https://open.yukon.ca/sites/default/files/group2results.csv,upload,31879,LGBTQ2S+ Inclusion Prioritization Survey,31882,https://open.yukon.ca/data/datasets/lgbtq2s-inclusion-prioritization-survey/resource/edc49621-0975-4a60-9bf8-007b6e06ef4d
data,Conversion Therapy- LGBTQ2S+ Respondents,"Group 1 includes respondents who identified as Trans, Gender diverse/variant and/or non-binary, Two-Spirit and/or queer Indigenous, Lesbian, gay, bisexual, queer and/or questioning, Parent/caregiver of LGBTQ2S+ (or questioning) child, or Family member of LGBTQ2S+ (spouse/partner, aunt, uncle, cousin, grandparent). Not Group 1 is all other respondents.",CSV,2019-09-20 15:26:17,2021-04-01 00:49:53,1007,https://open.yukon.ca/sites/default/files/group1results.csv,upload,31879,LGBTQ2S+ Inclusion Prioritization Survey,31883,https://open.yukon.ca/data/datasets/lgbtq2s-inclusion-prioritization-survey/resource/635402a9-98ec-4af0-bb3c-d26d39d7988c
data,"Enrolment report - Sep 30, 2011",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:46,42231,https://open.yukon.ca/sites/default/files/september_2010_2011.pdf,upload,51583,Enrolment reports 2011-12,51584,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/0695efc3-5186-458d-914b-075d22a776a0
data,"Enrolment report - October 31, 2011",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:46,37050,https://open.yukon.ca/sites/default/files/edu-enrolment-report2011-12-31october2011_0.pdf,upload,51583,Enrolment reports 2011-12,51585,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/d2e0c732-0a6c-4283-925c-65ba8816ec8b
data,"Enrolment report - Nov. 30, 2011",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:46,42878,https://open.yukon.ca/sites/default/files/enrolment_report_november_2011.pdf,upload,51583,Enrolment reports 2011-12,51586,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/cc71f6ab-0216-4376-9898-9d79112a13be
