"SCHEMA_TYPE","NAME","DESCRIPTION","FORMAT","CREATED","LAST_MODIFIED","DOC_SIZE","URL","URL_TYPE","PARENT_ID","DKAN_PARENT_DATASET_NODE_ID","DKAN_PARENT_DATASET_TITLE","DKAN_RESOURCE_NODE_ID","DKAN_URI"
"information","Map_adr","File is 2.11 MB",".PDF","2011-05-20 02:05:11","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_adr.pdf","",42062,"","","",""
"information","Map_fvd","File is 2.16 MB",".PDF","2012-09-21 03:09:58","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_fvd.pdf","",42062,"","","",""
"information","Map_mtf","File is 1.94 MB",".PDF","2012-09-21 03:09:59","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_mtf.pdf","",42062,"","","",""
"information","Map_pot","File is 2.14 MB",".PDF","2012-09-21 03:09:59","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_pot.pdf","",42062,"","","",""
"information","Map_rtk","File is 2.16 MB",".PDF","2012-09-21 03:09:00","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_rtk.pdf","",42062,"","","",""
"information","Map_ruk","File is 2.19 MB",".PDF","2012-09-21 03:09:00","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_ruk.pdf","",42062,"","","",""
"information","Map_rut","File is 2.17 MB",".PDF","2012-09-21 03:09:01","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_rut.pdf","",42062,"","","",""
"information","Map_ter","File is 1.71 MB",".PDF","2012-09-21 03:09:01","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_ter.pdf","",42062,"","","",""
"information","Map_tho","File is 2.12 MB",".PDF","2012-09-21 03:09:01","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_tho.pdf","",42062,"","","",""
"information","Map_ura","File is 2.17 MB",".PDF","2012-09-21 03:09:02","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/4304_ura.pdf","",42062,"","","",""
"information","maps","File is 20.46 MB",".ZIP","2018-10-12 09:10:13","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2002/2002-10/of2002-10.zip","",42062,"","","",""
"information","Map","File is 3.07 MB",".PDF","2018-08-27 10:08:20","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2002/of2002_6.pdf","",42063,"","","",""
"information","Map","File is 3.86 MB",".PDF","2018-08-27 10:08:38","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2002/of2002_5.pdf","",42066,"","","",""
"information","Report","File is 13.19 MB",".PDF","2011-05-24 02:05:05","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yplacer/yuk_plac_min_ind98_02.pdf","",42070,"","","",""
"information","Map","File is 1.49 MB",".PDF","2018-08-23 10:08:05","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2003/gm2003_1.pdf","",42071,"","","",""
"information","Map","File is 3.37 MB",".PDF","2018-08-23 10:08:28","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2003/gm2003_2.pdf","",42072,"","","",""
"information","Map","File is 3.55 MB",".PDF","2018-08-23 10:08:59","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2003/gm2003_3.pdf","",42073,"","","",""
"information","Map","File is 4.66 MB",".PDF","2018-08-23 10:08:47","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2003/gm2003_5.pdf","",42074,"","","",""
"information","Map","File is 2.71 MB",".PDF","2018-10-15 10:10:43","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/openfile/2004/of2004_11.pdf","",42075,"","","",""
"information","Report ","File is 10 MB",".PDF","2011-06-02 12:06:11","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg03/overview.pdf","",42076,"","","",""
"information","Appendices","File is 7.5 MB",".PDF","2011-11-23 02:11:18","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin14/bulletin14_appendices.pdf","",42077,"","","",""
"information","Bulletin","File is 4.68 MB",".PDF","2011-11-23 02:11:17","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin14/bulletin14.pdf","",42077,"","","",""
"information","CD","","","2011-11-23 02:11:06","2014-02-10 11:02:55","","","",42077,"","","",""
"information","Package","Includes 2 maps; YGS Open File 2002-6 and YGS Open File 2004-12.","","2011-11-23 02:11:06","2014-02-10 11:02:55","","","",42077,"","","",""
"information","Plates","","","2011-11-23 02:11:20","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin14/bulletin14_plates.pdf","",42077,"","","",""
"information","Map","File is 2.13 MB",".PDF","2018-10-15 10:10:38","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2004/of2004_12.pdf","",42078,"","","",""
